"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestor.nlogo"
"expConRadioSensibilidad"
"12/05/2012 13:53:59:378 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11"
"sensingRadius","0","1","2","3","4","5","6","7","8","9","10"
"[reporter]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
"[final]","122177.37","118356.61","129365.04","130979.41","119586.7","108341.42","124547.92","134055.07","124164.56","129910.75","129760.26"
"[min]","0","0","0","0","0","0","0","0","0","0","0"
"[max]","122177.37","118356.61","129365.04","130979.41","119586.7","108341.42","124547.92","134055.07","124164.56","129910.75","129760.26"
"[mean]","61034.76720000001","59465.028000000006","64781.10760000001","65813.0072","59724.99199999999","54071.7184","62349.01720000001","67067.6988","62053.86360000001","65184.95359999999","64856.82680000001"
"[steps]","24","24","24","24","24","24","24","24","24","24","24"

"[all run data]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
,"0","0","0","0","0","0","0","0","0","0","0"
,"5106.9","4988.84","5477.88","5736.92","5187.87","4209.59","5005.45","5836.27","5213.89","5525.98","5433.18"
,"10030.83","10046.94","10967.5","11168.7","10061.7","8708.9","10386.85","11499.27","10422.73","11120.16","10963.9"
,"15222.66","15011.11","16387.91","16634.62","15089.96","13002.67","15670.49","16899.79","15622.37","16166.38","16201.03"
,"20451.63","19808.54","21926.94","22304.48","20175.48","17671.4","20925.21","22543.07","20684.48","21527.65","21615.56"
,"25692.06","24842.69","27392.49","27764.92","25223.72","22474.9","26131.74","28015.37","25997.5","26966.13","27087.37"
,"30719.31","29932.73","32623.3","33516.48","30023.12","26988.95","31301.15","33567.72","31128.44","32562.73","32271.78"
,"35660.34","34843.49","38040.25","38916.75","34659.46","31711.21","36517.25","39202.88","36348.8","37957.24","37895.16"
,"40645.53","39834.39","43482.93","44028.45","39574.17","36188.19","41684.34","44819.87","41431.24","43155.9","43300.35"
,"45620.3","44806.94","48727.8","49555.66","44597.68","40671.15","46992.84","50419.61","46478.82","48725.43","48722.2"
,"50878.77","49633.71","54040.7","54937.3","49420.05","45321.38","52016.67","55871.25","51581.53","54190.16","54205.37"
,"55952.06","54734.22","59326.42","60431.71","54441.31","49827.93","56897.72","61285.44","56752.16","59784.39","59449.05"
,"61073.26","59678.85","64891.04","65791.7","59460.98","54271.33","62139.99","66840.47","62018","65077.89","64807.78"
,"66082.61","64723.84","70167.93","71522.09","64463.73","58464.88","67337.52","72528.55","67129.19","70818.97","70314.75"
,"71140.87","69497.37","75351.93","76970.4","69557.61","63206.1","72693.87","78094.29","72543.59","76330.23","75759.25"
,"76256.27","74393.24","80798.47","82444.88","74575.05","67588.03","78021.45","83741.93","77668.63","81773.22","81325.66"
,"81329.9","79475.9","86302.76","87796.14","79480.53","72010.62","83377.12","89234.87","82916.06","87282.77","86192.59"
,"86490.06","84350.91","91604.07","92901.58","84642.17","76567.98","88330.65","94936.87","88149.92","92567.81","91659.63"
,"91493.13","89331.49","96885.81","98322.95","89777.24","81069.85","93396.9","100403.97","93165.84","98183.39","97266.79"
,"96698.21","93979.02","102367.08","103819.67","94575.03","85533.02","98740.28","105891.73","98185.77","103276.46","102381.08"
,"101589.96","98715.04","107800.09","109180.76","99519.54","90197.99","103887.58","111652.05","102987.92","108594.6","107865.32"
,"106605.24","103633.57","113035.21","114702.95","104671.02","94791.21","109097.59","117371.5","108231.08","113988.91","113566.13"
,"111934.19","108585.69","118644.57","120214.13","109792.4","99155.21","114249","123140.26","113609.82","119396.38","119059.77"
,"117017.72","113420.57","123919.57","125682.53","114568.28","103819.05","119375.85","128840.37","118914.25","124740.31","124316.71"
,"122177.37","118356.61","129365.04","130979.41","119586.7","108341.42","124547.92","134055.07","124164.56","129910.75","129760.26"
