"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestor.nlogo"
"expConRadioSensibilidad-y-Contactos"
"12/05/2012 14:58:25:022 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11"
"sensingRadius","0","1","2","3","4","5","6","7","8","9","10"
"[reporter]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
"[final]","181683.67","187352.7","183277.58","180579.93","182197.45","189132.67","182254.43","182222.28","179954.52","182959.13","178318.65"
"[min]","0","0","0","0","0","0","0","0","0","0","0"
"[max]","181683.67","187352.7","183277.58","180579.93","182197.45","189132.67","182254.43","182222.28","179954.52","182959.13","178318.65"
"[mean]","93211.0932","96007.5744","94814.61279999999","93830.54240000002","95146.25600000001","97095.2332","94246.29560000003","94509.18199999999","93186.3736","94072.52080000001","92855.74919999998"
"[steps]","24","24","24","24","24","24","24","24","24","24","24"

"[all run data]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
,"0","0","0","0","0","0","0","0","0","0","0"
,"7947.34","8223.85","8350.44","8076.3","8513.98","8320.1","8273.83","8601.33","8363.99","7859.45","8307.64"
,"16276.14","16576.67","16684.74","16557.95","16879.92","17138.63","16606.35","16992.75","16398.92","16294.01","16573.88"
,"24393.56","24948.78","24818.94","24807.94","25271.78","25531.96","24704.43","25467.69","24541.33","24361.32","24848.92"
,"32611.14","33256.92","33057.97","33216.53","33718.96","34090.42","32885.86","33913.57","32607.25","32605.46","32910.71"
,"40577.8","41554.3","41323.36","41255.59","42081.46","42009.69","41160.66","41967.36","40717.78","40808","40975.27"
,"48401.01","49826.96","49618.78","49629.91","50267.15","50561.92","49186.29","50131.91","48792.57","48916.63","48711.45"
,"56219.91","58032.45","57673.44","57338.58","58648.87","58729.11","57264.65","57954.61","56745.88","56778.33","56457.01"
,"63780.71","65913.28","65841.13","65088.21","66634.09","66804.28","65403.14","65526","64557.79","64992.56","64532.17"
,"71474.58","74020.71","73762.99","72878.68","74864.9","74768.5","72982.76","73377.77","71872.55","72803.2","72525.68"
,"79067.1","81857.03","81262.07","80903.36","82733.88","82759.29","80845.18","81199.01","79627.43","80496.07","80219.34"
,"86888.8","89619.47","88856.25","88779.84","90440.77","90805.94","88504.1","88855.77","87305.23","87774.01","87673.94"
,"94677.53","97310.65","96481.62","96384.82","97588.86","98630.01","96129.41","96483.54","94831.16","95315.06","94933.46"
,"102102.39","105070.17","104152.62","103667.2","104640.07","106402.53","103869.39","104011.63","102529.9","102859.73","102341.37"
,"109528.13","112753.29","111710.16","110875.72","112179.42","114236.02","111034.63","111175.17","110004.4","110514.2","109551.2"
,"116995.04","120450.4","119137.33","118181.42","119866.48","121762.79","118549.04","118397","117369.5","118027.84","116922.35"
,"124525.4","127829.31","126506.3","125312.24","127034.84","129476.27","125991.17","125667.5","124646.34","125628","123999.12"
,"131732.5","135275.45","133698.09","132321.69","134169.85","136946.49","132926.37","132941.09","131943.93","132892.84","131163.79"
,"139096.58","142973.66","141278.63","139300.6","141320.74","144506.14","140108.99","140319.01","138683.36","140328.77","138213.45"
,"146282.39","150575.77","148427.25","146195.66","148374.78","151967.14","147445.1","147298.82","145954.57","147577.52","144981.7"
,"153438.05","158093.89","155576.52","153335.3","155029.43","159430.21","154551.8","154469.98","152904.22","154908.73","151706.61"
,"160501.94","165583.93","162786.93","160079.48","162001.67","166972.56","161682.69","161532.52","159617.6","162120.04","158513.73"
,"167512.43","172923.53","169600.71","167013.64","168747.33","174539.01","168397.75","168709.43","166534.94","168989.86","165209.96"
,"174563.19","180166.19","176481.47","173982.97","175449.72","181859.15","175399.37","175513.81","173154.18","176002.26","171802.33"
,"181683.67","187352.7","183277.58","180579.93","182197.45","189132.67","182254.43","182222.28","179954.52","182959.13","178318.65"
