"BehaviorSpace results (NetLogo 5.0.2)"
"BusinessInvestor.nlogo"
"variando sensingRadius"
"11/23/2012 17:42:08:507 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"sensingRadius","1","2","3","4","5","6","7","8","9","10"
"[reporter]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
"[final]","179556.67","184111.52","184125.21","182562.27","179831.73","181157.88","180013.06","180398.95","182746.47","185460.75"
"[min]","0","0","0","0","0","0","0","0","0","0"
"[max]","179556.67","184111.52","184125.21","182562.27","179831.73","181157.88","180013.06","180398.95","182746.47","185460.75"
"[mean]","93032.4976","95717.1884","95719.0784","94656.80200000001","93130.662","93809.148","92737.68","93803.06","94543.7656","95360.2048"
"[steps]","24","24","24","24","24","24","24","24","24","24"

"[all run data]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
,"0","0","0","0","0","0","0","0","0","0"
,"8288.32","8160.72","8400.21","8157.27","7941.69","8495.82","7919.4","8577.32","8211.42","8479.36"
,"16580.74","16925.55","16946.65","16596.9","16449.48","16511.87","16254.23","16953.92","16523.13","16752.67"
,"24816.98","25631.67","25652.8","24704.76","24975.48","24990.06","24075.44","25202.56","25110.8","25422.87"
,"33177.29","34163.44","34184.39","33073.29","33243.91","33101.74","32272.99","33478.82","33521.1","33451.55"
,"41001.79","42476.53","42480.53","41141.29","41294.99","41265.05","40418.35","41588.99","41780.48","41381.95"
,"49032.83","50749.33","50743.13","49456.42","49259.31","49268.08","48353.39","49743.33","49978.65","49585.4"
,"56991.86","59041.79","58977.73","57513.19","57418.95","57235.18","56275.62","57790.9","57759.44","57540.7"
,"64697.98","66818.21","66767.82","65415.79","65219.78","64901.9","64202.77","65699.29","65451.65","65353.66"
,"72302.7","74696.91","74592.34","73433.7","72541.28","72609.44","71712.37","73562.08","73211.18","73297.35"
,"79891.02","82300.5","82383.56","81309.91","80287.27","80285.56","79235.07","81090.86","81119.44","81280.87"
,"87258.04","90221.79","90214.2","89023.84","87823.9","88046.88","87055.85","88711.64","88962.44","89218.28"
,"94717.23","97750.25","97922.46","96855.75","95051.41","95610.65","94554.29","96178.99","96514.43","96828"
,"102449.91","105375.96","105501.48","104636.22","102358.26","103055.84","102217.6","103598.12","103881.78","104493.65"
,"109668.12","112806.41","113137.73","111967.4","109693.56","110593.93","109368.49","110784.21","111376.23","112212.29"
,"117019.9","120299.89","120461.9","119413.7","116789.51","117892.52","116423.5","117991.59","118879.19","119553.5"
,"124238.9","127699.51","127423.48","126912.32","123845.2","125261.03","123672.9","124825.06","126112.65","127002.24"
,"131308.06","134690.97","134717.94","133959.23","130888.46","132471.83","130900.98","131982.67","133347.16","134509.53"
,"138017.94","142045.3","142074.58","141018.73","137934.75","139548.1","137989.41","139001.8","140549.73","141812.18"
,"145019.5","149253.69","149138.27","147974.34","145224.98","146771","144961.57","145583.31","147538.51","149330.3"
,"152106.44","156276.34","156130.12","154931.48","152262.93","153740","152196.14","152637.18","154611.54","156858.42"
,"159085.42","163411.83","163378.55","161892.11","159078.25","160545.06","159159.92","159659.86","161861.03","164264.31"
,"165846.32","170459.81","170292.96","168813.83","165990.14","167492.74","166149.21","166589.16","168880.31","171524.99"
,"172738.48","177561.79","177328.92","175656.31","172861.33","174376.54","173059.45","173445.89","175665.38","178390.3"
,"179556.67","184111.52","184125.21","182562.27","179831.73","181157.88","180013.06","180398.95","182746.47","185460.75"
