"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestor-12-2.nlogo"
"Fig-12-1"
"01/28/2013 12:45:59:823 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10","11","11","11","12","12","12","13","13","13","14","14","14","15","15","15","16","16","16","17","17","17","18","18","18","19","19","19","20","20","20","21","21","21","22","22","22","23","23","23","24","24","24","25","25","25","26","26","26"
"decisionTimeHorizon","0",,,"1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8",,,"9",,,"10",,,"11",,,"12",,,"13",,,"14",,,"15",,,"16",,,"17",,,"18",,,"19",,,"20",,,"21",,,"22",,,"23",,,"24",,,"25",,
"[reporter]","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras"
"[final]","161253","120","<ArgumentTypeException>","162175.77","103","<ArgumentTypeException>","148173.59","93","<ArgumentTypeException>","135042.96","87","<ArgumentTypeException>","131442.23","90","<ArgumentTypeException>","122041.39","66","<ArgumentTypeException>","120864.71","93","<ArgumentTypeException>","116778.06","69","<ArgumentTypeException>","133875","89","<ArgumentTypeException>","102723.1","90","<ArgumentTypeException>","107433.15","53","<ArgumentTypeException>","112680.8","62","<ArgumentTypeException>","109929.72","74","<ArgumentTypeException>","116346.21","65","<ArgumentTypeException>","110526.07","67","<ArgumentTypeException>","103011.4","71","<ArgumentTypeException>","90877.58","68","<ArgumentTypeException>","102869.01","78","<ArgumentTypeException>","81697.59","70","<ArgumentTypeException>","108273.17","59","<ArgumentTypeException>","106356.33","64","<ArgumentTypeException>","95462.79","78","<ArgumentTypeException>","88938.4","59","<ArgumentTypeException>","102655.05","86","<ArgumentTypeException>","83248.12","66","<ArgumentTypeException>","98072.02","55","<ArgumentTypeException>"
"[min]","0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"[max]","161253","120",,"162175.77","103",,"148173.59","93",,"135042.96","87",,"131442.23","90",,"122041.39","66",,"120864.71","93",,"116778.06","69",,"133875","89",,"102723.1","90",,"107433.15","53",,"112680.8","62",,"109929.72","74",,"116346.21","65",,"110526.07","67",,"103011.4","71",,"90877.58","68",,"102869.01","78",,"81697.59","70",,"108273.17","59",,"106356.33","64",,"95462.79","78",,"88938.4","59",,"102655.05","86",,"83248.12","66",,"98072.02","55",
"[mean]","80551.15759999999","58.88",,"83458.4376","53.16",,"77924.3608","48.08",,"72474.79160000001","50.72",,"70028.3596","49.72",,"65734.6868","36.56",,"66213.6016","49.88",,"63248.284000000014","40.36",,"70798.2464","45.28",,"56369.833999999995","45.96",,"59287.812399999995","30.24",,"60396.0388","38.32",,"58889.845199999996","38.24",,"61507.1844","31.04",,"59226.636000000006","37.16",,"56978.185999999994","36.56",,"49682.578","34",,"54782.3128","40.52",,"45405.72920000001","40.08",,"57224.04759999999","28.4",,"56394.646799999995","31.04",,"51869.8188","42.52",,"47360.35719999999","30.48",,"54871.6984","48.36",,"45469.111200000014","37.92",,"52019.3992","26.68",
"[steps]","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24"

"[all run data]","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras","mean [w] of turtles","cantidadQuiebras","mean cantidadQuiebras"
,"0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>","0","0","<ArgumentTypeException>"
