"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestor-12-2.nlogo"
"Fig-12-1"
"01/28/2013 13:50:31:000 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10","11","11","11","12","12","12","13","13","13","14","14","14","15","15","15","16","16","16","17","17","17","18","18","18","19","19","19","20","20","20","21","21","21","22","22","22","23","23","23","24","24","24","25","25","25","26","26","26"
"decisionTimeHorizon","0",,,"1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8",,,"9",,,"10",,,"11",,,"12",,,"13",,,"14",,,"15",,,"16",,,"17",,,"18",,,"19",,,"20",,,"21",,,"22",,,"23",,,"24",,,"25",,
"[reporter]","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles"
"[final]","169388.6","145","7057.8583333333345","153105.72","101","6379.405000000002","144938.27","89","6039.094583333335","138611.54","80","5775.48083333333","131048.36","90","5460.348333333333","130358.38","59","5431.599166666666","120526.9","86","5021.954166666665","127493.28","77","5312.220000000001","101146.98","83","4214.4574999999995","117532.5","88","4897.187500000001","115532.1","79","4813.837499999998","105833.21","68","4409.717083333335","121877.03","69","5078.209583333332","109307.81","74","4554.492083333333","108931.14","74","4538.797499999998","106210.28","63","4425.428333333333","106141.99","53","4422.582916666667","94838.62","66","3951.6091666666675","95798.39","59","3991.599583333333","96947.07","61","4039.46125","103006.12","41","4291.921666666666","103577.62","45","4315.734166666668","102400.75","72","4266.697916666665","109158.66","64","4548.2775","82236.29","60","3426.512083333333","86520.03","57","3605.0012500000007"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","169388.6","145","7150.52","153105.72","101","6731.345000000002","144938.27","89","6985.700000000001","138611.54","80","6833.01","131048.36","90","6920.245","130358.38","59","7187.42","120526.9","86","7003.42","127493.28","77","7032.25","101146.98","83","5990.049999999999","117532.5","88","6294.565","115532.1","79","6515.86","105833.21","68","6573.3","121877.03","69","6896.5","109307.81","74","6572.78","108931.14","74","6591.16","106210.28","63","6368.88","106141.99","53","6867.2","94838.62","66","6092.12","95798.39","59","6522.41","96947.07","61","6612.17","103006.12","41","6506.14","103577.62","45","6591.56","102400.75","72","5601.81","109158.66","64","6626.84","82236.29","60","6230.6","86520.03","57","6506.55"
"[mean]","84779.73040000001","67.08","6767.304209863464","78427.35399999999","51.16","6317.352213902923","77335.6012","45.6","6323.734831919354","73855.7016","44.92","6080.301239996871","69982.4996","50.56","5837.338109699014","70157.4328","31.96","5912.617164848986","65787.9432","49.68","5579.93385649732","69030.74119999999","40.56","5798.387058921462","56152.074799999995","41.56","4792.57484008433","63046.69959999999","47.92","5272.796588311334","61672.198800000006","43.76","5189.480913699579","57795.29879999999","31.72","4939.191963400402","65120.395599999996","33.88","5465.904469111282","58883.072400000005","45.08","5018.687428397969","58638.11039999999","38.64","4976.331838999458","57205.692","35.56","4849.455327926169","57265.10079999999","28.12","4896.834535478861","51543.46639999999","34.6","4401.265569205356","52313.96399999999","27.04","4506.9488928652145","52702.966400000005","29.28","4545.7315010532075","56021.6232","21.68","4790.864221974925","55469.28880000001","23.44","4709.564009402475","53238.9768","38.4","4428.837464527318","57417.69479999998","31.52","4821.190880252519","44954.483199999995","32.24","3940.2792815949283","47165.3752","29.48","4118.029142251516"
"[steps]","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24"

"[all run data]","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles","mean [w] of turtles","cantidadQuiebras","mean [T-meanAnnualProfit] of turtles"
