BehaviorSpace results (NetLogo 5.0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BusinessInvestor-12-2.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig-12-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2013 10:16:27:038 -0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24,24,24,24,25,25,25,25,26,26,26,26
decisionTimeHorizon,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
[reporter],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
[reporter],mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,cantidadQuiebras,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualProfit] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles,mean [T-meanAnnualRisks] of turtles
[final],"174059,16","163652,14","147070,07","138371,87","135872,11","120076,44","108360,11","114877,52","112461,85","120105,74","116975,3","97581,72","105665,18","90246,84","91012,42","97683,78","102549,98","115942,18","97182,54","104026,69","106544,05","95309,76","101346,71","90009,11","88736,65","93188,98",155,124,126,92,93,70,60,75,78,64,68,69,87,72,65,65,81,54,74,63,84,69,71,63,60,76,"7252,465","6818,8391666667","6127,9195833333","5765,4945833333","5661,3379166667",5003185,"4515,0045833333","4786,5633333333","4685,9104166667","5004,4058333333","4873,9708333333","4065,905","4402,7158333333","3760,285","3792,1841666667","4070,1575","4272,9158333333","4830,9241666667","4049,2725","4334,4454166667","4439,3354166667","3971,24","4222,7795833333","3750,3795833333","3697,3604166667","3882,8741666667","0,0545628353","0,0427905152","0,0397130974","0,0348851156","0,0346980795","0,0329292481","0,0306848241","0,0323021717","0,0321192912","0,0304278256","0,0292233302","0,0304875683","0,0295366992","0,0291792305","0,0266306366","0,0307714073","0,0304796664","0,0262062912","0,0280842876","0,0282009893","0,0289313001","0,0285487888","0,0274104079","0,0283011178","0,0267911314","0,0274498321"
[min],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[max],"174059,16","163652,14","147070,07","138371,87","135872,11","120076,44","108360,11","114877,52","112461,85","120105,74","116975,3","97581,72","105665,18","90246,84","91012,42","97683,78","102549,98","115942,18","97182,54","104026,69","106544,05","95309,76","101346,71","90009,11","88736,65","93188,98",155,124,126,92,93,70,60,75,78,64,68,69,87,72,65,65,81,54,74,63,84,69,71,63,60,76,"7262,5117391304",7133615,"6826,64","6906,33","6818,8833333333","7168,65","6535,2",7048665,6581845,"6886,69","6021,36","6855,05",6074635,"5993,12","6855,5","6669,03","6810,43","6802,85","6382,56","6501,47","5848,42","6693,15","6356,02","6357,42","6224,48","6007,55","0,0546880511","0,0546445156","0,0569088024","0,0539250508","0,0548104596","0,0550092698","0,0531192067","0,0480318272","0,0513845185","0,049431759","0,0439332358","0,0505017108","0,0448024487","0,0484652813","0,04692414","0,0482790653","0,0477669527","0,0405542456","0,0482941733","0,041415872","0,0395890356","0,0478448202","0,0418471818","0,0441144856","0,0437238648","0,0426350656"
[mean],"86254,9772","83384,6404","76985,6152","74570,438","72390,1888","66265,6172","60029,8892","63069,5368","61029,7876","64252,3284","62291,036","55278,8036","56192,6644","49170,752","50481,8152","53315,4168","54843,7484","61563,2372","52155,8784","55010,8012","55378,8408","51213,994","53269,7284","49132,3296","48671,6416","49801,1088","84,64","69,08","76,64","55,36","51,36","39,72","36,72","37,84","41,32","29,24","40,48","32,92","48,6","42,2","32,32",34,"43,24","30,72","38,16","34,16","42,96","33,68","37,96","31,88","34,36","40,56","6821,6441553133","6712,1552851519","6275,6499522494","6151,4063924631","5988,328032463","5659,639117076","5131,753390142","5407,4253658042","5186,1407203233","5421,0907592947","5182,1670849687","4831,472193984","4758,7056275601","4227,9796596998","4433,8525543","4591,1780973764","4685,2107770464","5196,7542485632","4490,0607473535","4675,5694099027","4605,3764058671","4380,4641148621","4526,8487016522","4248,2385194344","4241,3695199852","4254,3434927459","0,0524038916","0,0461361551","0,0447058126","0,0400590608","0,0395640598","0,037763257","0,0357949651","0,0354046822","0,0356930521","0,0332248196","0,0317782133","0,0340568651","0,0319392153","0,0321842494","0,0295807562","0,0334379763","0,0325786848","0,0279526437","0,0306829406","0,0294035429","0,0296855325","0,0305736447","0,0289643722","0,0304517314","0,0291400042","0,0292075628"
[steps],24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
