BehaviorSpace results (NetLogo 5.0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BusinessInvestor-12-2.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig-12-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2013 12:30:06:123 -0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26
decisionTimeHorizon,0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,
[reporter],mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras
[final],"170892,95",139,"155604,46",101,"139121,28",103,"143779,74",93,"126807,45",80,"119154,31",70,"114346,01",76,"115256,64",76,"110654,23",69,"109948,16",60,"113382,92",66,"112623,24",60,"105071,22",77,"110661,25",70,"112060,73",60,"101314,99",64,"111996,8",70,"102206,92",62,"84489,06",78,"96452,29",67,"114197,96",65,"101749,24",63,"75962,43",80,"83134,02",64,"92767,74",65,"98243,88",67
[min],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[max],"170892,95",139,"155604,46",101,"139121,28",103,"143779,74",93,"126807,45",80,"119154,31",70,"114346,01",76,"115256,64",76,"110654,23",69,"109948,16",60,"113382,92",66,"112623,24",60,"105071,22",77,"110661,25",70,"112060,73",60,"101314,99",64,"111996,8",70,"102206,92",62,"84489,06",78,"96452,29",67,"114197,96",65,"101749,24",63,"75962,43",80,"83134,02",64,"92767,74",65,"98243,88",67
[mean],"84986,3568","72,88","79587,2284","57,12","73818,4","54,32","75899,8388","48,52","68335,4748","45,68","65504,1136","38,76","61830,3608","40,8","62616,5936","42,68","59907,1676","39,68","60144,342","33,84","60928,93","36,04","61604,716","30,32","56959,7964","42,56","58944,062","38,72","60538,86","32,36","54827,0316","35,4","59552,3124","33,96","55065,8056","33,36","46332,9928","49,16","52286,3576","32,36","59298,1616","38,08","55192,0052","31,04","41794,9944","45,72","44918,1424","32,36","49575,19","37,92","51346,5852","41,72"
[steps],24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"6422,86",11,"6396,89",7,"6224,23",10,"7150,4",2,"6413,25",6,"6471,28",5,"6374,06",5,"6816,04",3,"6555,68",5,"6899,44",6,"6739,04",4,"7075,76",1,"6575,26",6,"6553,59",6,"6837,69",2,"6044,54",10,"6498,77",4,"6596,5",5,"6190,54",6,"6358,7",4,"6331,26",2,"6765,54",3,"5522,62",7,"5869,67",8,"6064,16",6,"6141,92",6
,"12944,72",23,"12713,54",17,"13091,15",14,"14200,37",7,"13363,65",10,"12930,52",13,"12861,19",8,"13390,71",10,"12794,78",10,"13599,77",12,"13182,57",7,"13491,63",5,"12423,84",10,"12541,47",12,"13004,53",6,"12226,73",13,"12395,91",7,"12620,16",8,"11613,64",12,"11849,72",8,"11790,66",6,"12578,48",6,"10439,98",12,"10902,3",11,"11263,8",7,"11277,78",9
,"20072,98",29,"19382,2",25,"19651,75",22,"21222,39",12,"19926,58",15,"19749,19",15,"19025,11",12,"19771,95",13,"18731,57",13,"20034,4",13,"19408,79",8,"19637,52",7,"17916,07",14,"18543,99",15,"19092,75",7,"17706,15",16,"17815,7",8,"17531,94",13,"15751,23",22,"16847,8",9,"16854,36",14,"17410,61",8,"14968,87",20,"15251,09",12,"16088,26",11,"15800,83",16
,"27500,91",31,"26369,47",28,"26439,45",25,"28082,18",17,"26220,48",19,"26286,02",19,"25005,54",14,"25740,93",20,"24316,01",19,"25425,74",16,"24586,66",13,"25252,25",10,"22947,13",18,"23659,27",17,"24453,5",11,"22732,6",21,"23376,56",12,"22353,85",16,"20051,74",27,"21633,91",12,"21749,52",21,"22462,51",9,"18791,21",24,"19123,78",15,"20327,8",17,"20405,75",19
,"34927,01",33,"33441,04",30,"33372,25",27,"34666,32",23,"32593,26",22,"32710,3",19,"30675,21",17,"31638,37",23,"29733,03",20,"30443,38",21,"29768,92",17,"31033,36",12,"27929,08",23,"28454,32",18,"29876,78",12,"27834,17",22,"28619,83",14,"26741,17",17,"23782,79",33,"25783,76",15,"26837,3",23,"27233,62",10,"22400,8",27,"22562,16",16,"24949,16",20,"24701,32",23
,"41998,95",40,"40280,53",35,"40005,2",30,"41555,75",24,"38690,92",25,"38703,44",20,"36026,57",18,"37156,45",24,"34791,37",23,"35598,77",25,"34787,76",21,"36191,72",18,"32360,97",27,"33106,48",21,"34754,09",16,"32770,32",24,"33667,27",18,"31160,87",21,"27862,52",38,"30305,42",16,"31883,86",26,"31533,38",15,"25620,05",31,"26338,95",17,"28816,12",23,"28927,93",26
