"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestorWithAdaptiveBehavior.nlogo"
"expVarProfitMultiplier"
"01/22/2013 17:00:45:797 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150"
"profitMultiplier","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"[reporter]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
"[final]","80913.285","83780.96","83044.645","83250.935","89361.805","80102.83","85087.035","85234.955","83629.14","79501.185","82122.355","83264.855","84447.045","81109.81","83479.555","81609.14","82080.13","82255.94","80128.52","87304.775","83622.805","82106.195","82627.715","86387.845","80739.94","98693.70599999999","98360.50799999999","98197.32000000004","97026.90600000002","100949.20800000001","98503.692","95257.716","101135.796","97811.71200000001","98133.252","94009.368","101970.92399999998","99643.98599999999","94936.974","96571.46399999998","97590.144","92859.48","99323.92200000005","96720.32400000001","97017.90000000002","101320.90199999996","99212.946","97135.69800000003","98574.79800000002","98838.55799999998","108306.85599999994","117851.62200000005","111521.43800000004","112313.83799999999","118342.46199999997","111429.34599999999","112628.76099999995","119992.24999999999","115735.991","107773.86900000002","117673.40200000005","113044.14100000003","111466.87999999998","117139.19700000004","119579.65600000003","116140.948","113728.72700000003","120734.474","115409.32199999997","118176.506","115024.47599999997","115072.29999999999","112186.23500000006","114649.521","113915.942","130489.15200000003","135602.19200000004","131788.92","129440.576","139428.22400000005","135312.91199999998","124117.43999999996","128812.99200000001","126897.408","125373.69599999998","127160.6","129133.08800000003","134163.376","131059.71199999997","133178.83199999997","129230.352","139010.896","127162.31199999999","130364.67199999993","127010.05600000006","132310.016","123760.12799999997","124547.47200000002","139529.12799999997","132018.52800000002","143104.51799999998","149505.51600000006","152339.56199999986","144966.82499999998","148701.92400000003","140652.70200000005","149958.56699999998","144854.55","144626.92200000002","150028.263","151588.21500000003","145446.83999999997","143307","146658.04199999996","142303.68899999995","147560.96699999995","136647.495","139763.61","152845.52399999998","145103.51700000002","146025.54899999994","147234.53700000004","147962.8440000001","151077.51","154214.19900000002","155598.78","164363.92","153986.69","162861.64","163763.25","164507.44","163431.01","166760.29","168671.14","169079.93","161073.43","165661.51","168044.09","163531.74","166820.3","163180.71","173183.63","170237.07","165943.03","165517.49","162266.08","168116.42","166616.71","161518.36","159147.52"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","80913.285","83780.96","83044.645","83250.935","89361.805","80102.83","85087.035","85234.955","83629.14","79501.185","82122.355","83264.855","84447.045","81109.81","83479.555","81609.14","82080.13","82255.94","80128.52","87304.775","83622.805","82106.195","82627.715","86387.845","80739.94","98693.70599999999","98360.50799999999","98197.32000000004","97026.90600000002","100949.20800000001","98503.692","95257.716","101135.796","97811.71200000001","98133.252","94009.368","101970.92399999998","99643.98599999999","94936.974","96571.46399999998","97590.144","92859.48","99323.92200000005","96720.32400000001","97017.90000000002","101320.90199999996","99212.946","97135.69800000003","98574.79800000002","98838.55799999998","108306.85599999994","117851.62200000005","111521.43800000004","112313.83799999999","118342.46199999997","111429.34599999999","112628.76099999995","119992.24999999999","115735.991","107773.86900000002","117673.40200000005","113044.14100000003","111466.87999999998","117139.19700000004","119579.65600000003","116140.948","113728.72700000003","120734.474","115409.32199999997","118176.506","115024.47599999997","115072.29999999999","112186.23500000006","114649.521","113915.942","130489.15200000003","135602.19200000004","131788.92","129440.576","139428.22400000005","135312.91199999998","124117.43999999996","128812.99200000001","126897.408","125373.69599999998","127160.6","129133.08800000003","134163.376","131059.71199999997","133178.83199999997","129230.352","139010.896","127162.31199999999","130364.67199999993","127010.05600000006","132310.016","123760.12799999997","124547.47200000002","139529.12799999997","132018.52800000002","143104.51799999998","149505.51600000006","152339.56199999986","144966.82499999998","148701.92400000003","140652.70200000005","149958.56699999998","144854.55","144626.92200000002","150028.263","151588.21500000003","145446.83999999997","143307","146658.04199999996","142303.68899999995","147560.96699999995","136647.495","139763.61","152845.52399999998","145103.51700000002","146025.54899999994","147234.53700000004","147962.8440000001","151077.51","154214.19900000002","155598.78","164363.92","153986.69","162861.64","163763.25","164507.44","163431.01","166760.29","168671.14","169079.93","161073.43","165661.51","168044.09","163531.74","166820.3","163180.71","173183.63","170237.07","165943.03","165517.49","162266.08","168116.42","166616.71","161518.36","159147.52"
"[mean]","42342.867","43531.7028","43423.8938","43114.3704","46202.3696","41574.2714","44065.541","44224.3434","43653.0412","41715.514200000005","42991.9484","43315.3396","43525.7548","42190.85540000001","43517.9666","42707.1772","42906.3174","42591.0666","41454.623600000006","45547.71460000001","43418.1744","43044.6248","43190.21040000001","44522.993200000004","42052.722","51465.274560000005","51255.37368","51550.33176","51019.572","52078.84968000001","50962.4496","49636.636320000005","52816.916880000004","51500.0808","51108.95496","49843.2036","52609.20624","51789.90240000001","49932.74688","50840.00256","50855.57784000001","48400.309680000006","52202.338319999995","50471.379839999994","50990.04743999999","52759.54104","51534.8592","50615.88216","51662.73648","51475.042799999996","56635.57592","61327.72323999999","58038.74636","59014.893280000004","61357.985920000014","58317.196840000004","58897.92467999998","61808.76183999999","60828.60924","56898.81008","61029.2046","59049.56932","58950.180239999994","60549.54556","61862.72819999999","60115.95940000001","59322.007359999996","62398.24528","60797.05295999999","61013.414280000005","60110.13176000002","60021.54816","58844.28368","59349.666040000004","58714.53223999999","68019.10080000001","70177.08448","68415.32416","68289.42399999998","71865.29184","70521.6352","65734.84544","67403.6528","66732.57824","65391.11168","66699.40415999999","67540.58208","69841.7664","68224.4032","69060.48736","67713.71583999999","71575.91424","67116.59616","68077.99136","66359.09408","68222.05119999999","65291.35008","65539.4352","72109.37792","68199.57376","73797.94008","77817.67452","79695.16055999997","76101.08148","77353.59456","74374.81668000002","78534.78444000002","75378.26123999999","75283.88184","78965.2494","78525.30960000002","75463.34903999999","74855.88287999999","76288.34916","74172.15972","76729.09356","72236.97216","72813.96","79515.9684","76030.07004","76401.02951999998","77091.56208","76369.36572","78138.90684","79540.80372000001","82087.6652","85035.5072","80755.114","84439.5132","86081.8832","86126.45240000001","85478.11760000001","86906.1156","87776.0228","87714.1724","84375.8836","85846.47760000001","87271.94320000001","84819.3608","86787.17959999999","84720.50200000001","88761.2236","87959.97039999999","86024.296","86522.62","84753.18400000001","86879.12440000002","86592.46040000001","84909.41159999998","83752.81439999999"
"[steps]","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24"

"[all run data]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
