"BehaviorSpace results (NetLogo 5,0,3)",,,,,,
"BusinessInvestorWithAdaptiveBehavior,nlogo",,,,,,
expVarProfitMultiplier,,,,,,
01/22/2013 17:14:30:697 -0600,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,
0,19,0,19,,,
[run number],1,2,3,4,5,6
profitMultiplier,"0,5","0,6","0,7","0,8","0,9",1
[reporter],mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles
[final],83410565,96519744,"109899,874","125305,656",146126322,"168407,85"
[min],0,0,0,0,0,0
[max],83410565,96519744,"109899,874","125305,656",146126322,"168407,85"
[mean],"43520,8494","50864,68392","58168,40456","65533,86624","76591,683","88176,3328"
[steps],24,24,24,24,24,24
,"45334,218125",,,,,
[all run data],mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles
,0,0,0,0,0,0
,"4060,73","4588,848",5302297,"5954,792","7435,575","8405,6"
,"8070,87","9552,12","10866,66","11801,24","14255,1","16688,55"
,"11917,22","14176,092",16310567,"17633,888","21172,482","24472,34"
,"15897,555","18774,54",21827057,"23606,576","28240,893","32046,85"
,"19711,875","23312,61","26822,089","29700,728","34908,822","40217,6"
,"23377,945","27845,106","31720,122","35467,456",41251329,"47599,74"
,"27192,365","32067,036","36496,229","40948,304","47864,124","55205,7"
,"30645,89","36448,656","41537,188","46533,92","54207,945","62533,66"
,"34101,17","40574,574","46373,628","51600,528","60813,63","69580,21"
,"37540,685","44565,612","51014,712",56791192,"66729,636","76293,83"
,"41067,295","48436,284",55479928,"62025,432",73050615,"83338,44"
,"44538,955",52407288,60172735,"66901,96",78831846,"90240,72"
,"47762,135","56293,674","64643,453","72040,048","84663,9","97097,25"
,"51254,405","60098,1","68969,656",76911744,"90476,721","103770,12"
,"54608,235","63760,362","73260,054","82130,272","96256,215","110457,35"
,"57767,08","67590,48","77412,93","87230,848","101581,632","117180,25"
,"60989,59","71234,292","81509,428",92042248,"107064,441","123522,49"
,"64310,995","74889,504","85478,526","96984,256","112733,91","130154,19"
,"67598,115","78626,148","89719,805","101924,936","118222,488","136853,81"
,"70836,515","82169,256","93848,468","106706,056","123911,928","143065,27"
,"73967,82","85714,404","97746,117","111452,256",129344517,"149446,99"
,"77096,395","89230,956","101835,363","116044,896","135091,854","155728,91"
,"80296,83","92741,412","105963,228","120607,424","140556,15","162100,6"
,"83410,565",96519744,"109899,874","125305,656",146126322,"168407,85"
