BehaviorSpace results (NetLogo 5.0.3),,,,,,
BusinessInvestorWithAdaptiveBehavior.nlogo,,,,,,
expVarProfitMultiplier,,,,,,
01/22/2013 18:32:53:397 -0600,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,
0,19,0,19,,,
[run number],1,2,3,4,5,6
profitMultiplier,"0,5","0,6","0,7","0,8","0,9",1
riskMultiplier,1,1,1,1,1,1
[reporter],mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles
[final],"94325,33","109914,864","131173,987","148315,48",159739785,"182482,94"
[min],0,0,0,0,0,0
[max],"94325,33","109914,864","131173,987","148315,48",159739785,"182482,94"
[mean],"48182,4802",57007344,"67718,6762","76455,53504","83076,19704","93654,3832"
[steps],24,24,24,24,24,24
,,,,,,
[all run data],mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles,mean [w] of turtles
,0,0,0,0,0,0
,"4161,67","5147,49","5950,273",6897648,"7120,062","8121,36"
,8220065,"10360,182","11961,698","13685,792","14432,634","16323,95"
,12402275,"15293,994","17867,276","20322,696","21460,626","24326,68"
,"16513,8",20113158,"23815,134","26932,304","29053,683","32337,76"
,20659525,"25012,998","29663,249","33601,888","36396,18","40036,11"
,24918895,"29846,856",35599165,"39968,848","43652,673","48148,93"
,29000495,"34666,08",41281254,"46439,032","50874,372","56050,63"
,33014565,39422742,"46926,166","52813,064",57675447,"64075,39"
,37020815,"44100,198","52581,767","59336,6","64690,092","71986,56"
,41066495,"48780,228","58186,744",65539552,71446842,"79771,37"
,"45110,82","53361,408","63688,94","71665,256","78328,107","87493,89"
,"48964,18","58020,966","69038,333","77907,456",85176468,"95127,36"
,52747745,"62547,96",74445658,"83785,1520000001","91724,4359999999","102841,37"
,56528465,"67178,448","79612,589",89612224,98355672,"110385,23"
,"60401,18",71819058,"84735,301","95627,472",104774463,"117915,49"
,"64257,82","76173,036",90014715,101774416,"111214,458","125318,42"
,"67995,1","80657,28","95317,656",107870368,"117686,187","132386,63"
,"71796,75","84872,64","100604,595","113783,504","123695,316","139675,54"
,"75514,81",89205672,"105853,559",119505296,"129866,805","146899,11"
,"79356,53","93518,31","111114,549","125226,192","135837,756","154154,02"
,83130055,"97669,656","116209,366","131244,76","141870,384","161508,97"
,86885725,"101706,276",121202438,"136889,624","147928,662","168437,55"
,90568895,"105794,1","126122,493","142643,752","153903,816","175554,32"
,"94325,33","109914,864","131173,987","148315,48",159739785,"182482,94"
