"BehaviorSpace results (NetLogo 5.0.2)"
"BusinessInvestorWithAdaptiveBehavior.nlogo"
"expVarProfitMultiplier"
"12/07/2012 17:35:09:819 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","2","3","4","5","6"
"profitMultiplier","0.5","0.6","0.7","0.8","0.9","1"
"[reporter]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
"[final]","177533.02","183070.09","186361.12","185807.96","184664.83","182418.12"
"[min]","0","0","0","0","0","0"
"[max]","177533.02","183070.09","186361.12","185807.96","184664.83","182418.12"
"[mean]","92129.1304","94279.078","96243.5172","95957.9888","95474.64600000001","93531.94800000003"
"[steps]","24","24","24","24","24","24"

"[all run data]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
,"0","0","0","0","0","0"
,"7963.45","8205.99","8440.12","8390.89","8554.33","8218.21"
,"15711.94","16631.37","16783.49","16906.98","16850.95","16403.81"
,"24063.35","24787.22","25210.67","25297.08","25477.96","24712.2"
,"31980.9","33164.85","33348.18","33835.69","33839.36","32819.35"
,"40062.04","41316.13","41650.9","42278.58","42016.14","40571.64"
,"48123.83","49129.7","49944.92","50446.73","50065.65","48643.56"
,"56161.87","57273.69","58287.13","58298.26","58167.25","56658.41"
,"64060.18","65000.98","66569.37","66172.21","66206.25","64488.63"
,"71799.12","72814.41","74820.04","74203.03","74203.19","72088.84"
,"79353.33","80577.33","82646.91","82234.18","82002.69","79819.61"
,"87020.35","88311.04","90329.52","90101.09","89905.9","87609.27"
,"94460.29","95743.24","98398.98","97715.09","97436.72","95000.8"
,"101747.99","103378.55","106076.48","105290.41","104915.47","102447.23"
,"109028.3","110953.93","113870.33","112684.9","112145.17","109719.37"
,"116224.35","118564.5","121182.8","120258.74","119518.48","117148.19"
,"123174.89","125809.12","128637.07","127803.79","126929.29","124489.03"
,"130154.01","132946.87","135917.39","135247.6","134407.03","131913.79"
,"137117.2","140185.79","143275.3","142763.02","141743.87","139296.32"
,"143970.75","147489.44","150307.04","150204.87","149044.14","146350.26"
,"150747.64","154619.3","157798.1","157773.07","156477.64","153594.83"
,"157549.05","161947.92","164912.24","164684.75","163660.96","160814.11"
,"164275.46","168983.57","172175.28","171942.48","170843.61","167956.45"
,"170944.95","176071.92","179144.55","178608.32","177789.27","175116.67"
,"177533.02","183070.09","186361.12","185807.96","184664.83","182418.12"
