"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestorWithAdaptiveBehavior.nlogo"
"expVarProfitMultiplier"
"01/22/2013 17:00:39:974 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","profitMultiplier","[step]","mean [w] of turtles"
"4","0.5","0","0"
"2","0.5","0","0"
"3","0.5","0","0"
"2","0.5","1","4128.64"
"2","0.5","2","8077.525"
"2","0.5","3","11912.175"
"4","0.5","1","3675.965"
"2","0.5","4","15765.325"
"2","0.5","5","19501.13"
"4","0.5","2","7540.295"
"2","0.5","6","23319.095"
"3","0.5","1","3881.4"
"4","0.5","3","11320.94"
"2","0.5","7","26630.225"
"3","0.5","2","7838.175"
"4","0.5","4","15131.59"
"4","0.5","5","18798.345"
"4","0.5","6","22564.535"
"2","0.5","8","30102.585"
"4","0.5","7","26306.825"
"4","0.5","8","29976.37"
"4","0.5","9","33540.67"
"4","0.5","10","37069.93"
"2","0.5","9","33657.515"
"3","0.5","3","11763.02"
"4","0.5","11","40391.295"
"2","0.5","10","37287.1"
"2","0.5","11","40805.23"
"4","0.5","12","43933.48"
"4","0.5","13","47459.305"
"2","0.5","12","44410.8"
"4","0.5","14","51018.96"
"2","0.5","13","47844.375"
"3","0.5","4","15656.77"
"4","0.5","15","54437.44"
"2","0.5","14","51193.15"
"4","0.5","16","57742.915"
"3","0.5","5","19533.33"
"2","0.5","15","54570.9"
"4","0.5","17","60949.225"
"4","0.5","18","64049.435"
"2","0.5","16","57942.72"
"4","0.5","19","67334.1"
"2","0.5","17","61261.65"
"4","0.5","20","70452.955"
"2","0.5","18","64532.73"
"4","0.5","21","73759.765"
"2","0.5","19","67885.05"
"2","0.5","20","71121.26"
"1","0.5","0","0"
"3","0.5","6","23228.395"
"4","0.5","22","77076.43"
"4","0.5","23","80077.555"
"1","0.5","1","4033.035"
"2","0.5","21","74357.725"
"4","0.5","24","83250.935"
"3","0.5","7","26936.07"
"2","0.5","22","77508.07"
"3","0.5","8","30525.08"
"2","0.5","23","80696.635"
"3","0.5","9","33953.765"
"2","0.5","24","83780.96"
"3","0.5","10","37569.635"
"3","0.5","11","41269.08"
"3","0.5","12","44646.46"
"3","0.5","13","48110.27"
"6","0.5","0","0"
"5","0.5","0","0"
"3","0.5","14","51502.955"
"5","0.5","1","4212.85"
"6","0.5","1","3784.785"
"3","0.5","15","54664.945"
"5","0.5","2","8020.285"
"3","0.5","16","57896.11"
