"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestorWithAdaptiveBehavior.nlogo"
"expVarRiskMultiplier"
"01/22/2013 17:17:56:980 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11"
"riskMultiplier","1","1.1","1.2","1.3","1.4","1.5","1.6","1.7","1.8","1.9","2"
"[reporter]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
"[final]","182799.76","176020.16","175645.64","174536.9","170915.27","172112.21","172553.71","172059.63","170548.76","171308.1","170544.39"
"[min]","0","0","0","0","0","0","0","0","0","0","0"
"[max]","182799.76","176020.16","175645.64","174536.9","170915.27","172112.21","172553.71","172059.63","170548.76","171308.1","170544.39"
"[mean]","94986.3936","91673.3812","91311.06000000001","91207.40639999999","88992.29040000001","89734.852","89623.6716","89672.9736","88848.49719999998","88929.1544","88253.9388"
"[steps]","24","24","24","24","24","24","24","24","24","24","24"

"[all run data]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
,"0","0","0","0","0","0","0","0","0","0","0"
,"8364.83","8171.38","8096.66","8338.49","8135.97","7894.8","8178.65","7948.94","7650.08","7893.45","7746.69"
,"16811.17","15993.96","16309.04","16279.14","15830.98","16162.93","16018.57","15875.08","15828.56","16305.7","15750.43"
,"25514.46","24138.04","24756.04","24269.4","24072.83","24049.26","24119.77","24171.9","23705.54","23741.66","23705.58"
,"33665.66","32008.58","32550.18","32336.41","31726.47","31985.42","31959.32","31927.59","31428.02","31524.6","31397.26"
,"41915.83","39794.57","40618.48","40333.66","39684.85","39888.67","39890.77","39791.16","39393.03","39337.23","39093.88"
,"50148.38","47905.04","48326.91","48160.31","47279.04","47460.47","47428.78","47478.46","47088.62","47018.01","46550.77"
,"58265.29","55872.64","56310.18","55891","55148.33","55120.53","55014.76","55234.61","54742.84","54603.53","54133.67"
,"66057.27","63267.55","63712.47","63437.64","62805.56","63056","62683.71","62620.81","62011.52","61991.67","61508.14"
,"73940.74","71248.64","71065.36","71252.86","70075.08","70428.4","70149.81","70070.63","69601.29","69359.73","68498.08"
,"81674.91","78989.18","78532.44","78561.07","77089.23","77839.25","77422.1","77415.46","76748.01","76145.03","75605.28"
,"89308.25","86540.54","86176.07","86076.17","84063.89","84903.26","84563.65","84615.76","84216.67","83358.07","82673.19"
,"97176.35","94059.72","93600.81","93514.21","90541.19","92040.94","91735.15","91865.89","90842.7","90569.16","89723.01"
,"104669.69","101480.03","100690.02","100836.25","97746.75","99070.16","98573.26","98691.45","98079.25","97672.25","96927.35"
,"112162.51","108655.82","107958.93","108005.69","104859.68","106106.97","105446.22","105963.49","105111.71","104627.99","103600.91"
,"119410.6","116022.09","114871.76","115200.05","111449.07","112693.54","112251.34","112798.02","111735.6","111715.16","110582.88"
,"126792.49","122975.61","121630.61","122048.81","118485.83","119600.74","119244.87","119768.12","118483.69","118784.71","117473.52"
,"134018.56","129927.72","128567.52","128808.71","125250.9","126497.95","125993.74","126598.8","125230.63","125569.66","124494.86"
,"141227.95","136667.45","135257.57","135679.91","131938.07","133321.58","132959.78","133192.74","131956.52","132327.33","131290.81"
,"148164.01","143196.46","142127.82","142355.14","138296.17","139637.24","139741.29","139642.67","138442.63","139279.34","137896.77"
,"155188.05","149747.86","148905.66","148920.95","144807.62","146046.9","146267.25","146328.16","145111.7","145260.87","144623.82"
,"162241.87","156392.35","155764.03","155465.5","151561.44","152614.41","152919.5","152807.12","151326","151784.3","151019.43"
,"169137.08","163044.62","162355.15","161700.96","158349.48","159196.04","159514.78","159188.96","157795.53","158324.94","157451.01"
,"176004.13","169714.52","168947.15","168175.93","164693.56","165643.63","165961.01","165768.89","164133.53","164726.37","164056.74"
,"182799.76","176020.16","175645.64","174536.9","170915.27","172112.21","172553.71","172059.63","170548.76","171308.1","170544.39"
