"BehaviorSpace results (NetLogo 5.0.2)"
"BusinessInvestorWithAdaptiveBehavior.nlogo"
"expVarRiskMultiplier"
"12/07/2012 17:41:01:135 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11"
"riskMultiplier","1","1.1","1.2","1.3","1.4","1.5","1.6","1.7","1.8","1.9","2"
"[reporter]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
"[final]","183043.85","187492.99","178430","180917.13","186496.42","183377.09","188491.05","179193.78","179439.67","180636.28","180135.47"
"[min]","0","0","0","0","0","0","0","0","0","0","0"
"[max]","183043.85","187492.99","178430","180917.13","186496.42","183377.09","188491.05","179193.78","179439.67","180636.28","180135.47"
"[mean]","94496.36880000001","96163.39599999998","92492.7916","94118.0116","96007.15959999998","94568.70559999999","96859.38279999999","92585.69200000001","92449.7596","93540.28640000001","92429.94440000004"
"[steps]","24","24","24","24","24","24","24","24","24","24","24"

"[all run data]","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles","mean [w] of turtles"
,"0","0","0","0","0","0","0","0","0","0","0"
,"8242.26","8530.07","8084.59","8327.07","8577.72","8323.24","8129.71","7875.24","8293.03","8191.91","7978.52"
,"16716.16","16695.45","16257.52","16744.85","17220.48","16468.56","16690.8","16308.47","16686.27","16346.79","16024.51"
,"25113.29","25120.84","24298.67","24866.48","25570.29","24513.97","24803.04","24599.25","25064.78","24798.71","24071.78"
,"33244.63","33182.45","32320.72","33076.12","33796.65","32749.49","33006.33","32635.32","33089.23","33267.44","32138.19"
,"41542.64","41604.6","40508.59","41398.88","41805.83","40751.47","41594.06","40818.87","40829.89","41178.72","40102.2"
,"49575.13","49989.67","48346.01","49425.02","50123.77","48741.7","49821.49","48831.63","48903.83","49388.23","48133.46"
,"57584.98","58112.93","56211.18","57552.54","58087.17","56523.53","58208.53","56244.05","56550.11","57307","55901.17"
,"65244.94","66109.42","63923.27","65710.68","66224.28","64489.82","66337.78","63961.08","63974.82","65034.56","63551.51"
,"73057.32","73915.02","71449.19","73843.75","74351.41","72392.09","74602.09","71679.23","71900.56","72781.45","71093.34"
,"80935.34","81806.3","79125.95","81636.39","81947.18","80411.59","82628.28","79378.36","79432.5","80293.86","78631.18"
,"88712.17","89705.69","86628.08","89401.31","89713.7","88448.43","90735.53","86529.78","86542.35","87949.18","85939.21"
,"95843.65","97420.69","94305.9","96841.85","97451.09","96514.93","98666.17","93969.02","93780.6","95593.09","93323.62"
,"103508.65","105368.15","102029.37","104455.58","104962.37","103762.27","106651.94","101492.45","101122.64","102875.72","100870.45"
,"111015.23","112906.54","109428.92","111564.86","112397.94","111352.89","114334.61","108719.76","108539.16","110182.44","108322.34"
,"118588.56","120681.29","116766.41","118379.62","120155.48","118759.6","121934.72","116219.49","115679.36","117562.17","115959.27"
,"126219.13","128148.1","124069.17","125376.94","127839.38","126439.38","129554.02","123420.85","122545.42","124691.44","123207.6"
,"133415.12","135759.91","131039.63","132498.92","135601.25","134162.56","137105.87","130733.94","129998.23","131870.3","130583.6"
,"140536.9","143377.54","137808.49","139446.06","143047.75","141752.42","144603.6","137803.87","137097.53","139072.01","137948.87"
,"147863.87","150812.97","144546.17","146511.52","150341.36","148959.4","152119.34","144983.09","144085.51","146056.78","145119.14"
,"154897.27","158210.44","151522.82","153584.07","157702.28","156051.41","159432.54","151984.63","151325.82","153047.79","152397.91"
,"162131.87","165742.9","158264.36","160264.34","165075.81","162809.14","166742.38","158832.45","158352.18","159854.1","159592.72"
,"169112.19","173022.08","165011.32","167131.33","172233.74","169902.1","173990.11","165774.25","165508.09","166759.22","166331.81"
,"176264.07","180368.86","171943.46","173994.98","179455.64","176560.56","181300.58","172653.44","172502.41","173767.97","173390.74"
,"183043.85","187492.99","178430","180917.13","186496.42","183377.09","188491.05","179193.78","179439.67","180636.28","180135.47"
